ISIN,Investment Objective (M* KIID Objective/Investment Policy)
LU1259344122,"Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMU Net Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 75% of its assets in shares (equities) and equity-related securities of companies, of any size, in any industry, in the Eurozone.Companies will be incorporated in or havingtheir principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable). The investment manager has discretion to choose investments for the Fund with weightings different to the index or not in the index, but at times the Fund may hold investments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in orderto benefitfrommarketmispricing.The investment process combines 'bottom-up' (company-level) analysis with a qualitative overview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. OtherInformation Environmental, social and governance (ESG) criteria are one of the components of management but their weight in the final decision is not defined in advance. The Fund promotes environmental and/or social characteristics as defined underArticle 8 oftheSustainable Finance Disclosure Regulation (SFDR). Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossary on our website at www.janushenderson.com."
LU1291149836,"Objective and investment policy Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMUNet Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 75% of its assets in shares (equities) and equity-related securities of companies, of any size, in any industry, in the Eurozone.Companies will be incorporated in or having their principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable). The investment manager has discretion to choose investments for the Fund with weightings different to the index or not in the index, but at times the Fund may hold investments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in order to benefit frommarket mispricing.The investment process combines 'bottom-up' (company-level) analysis with a qualitative overview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. Other Information Environmental, social and governance (ESG) criteria are one of the components of management but theirweight in the final decision is not defined in advance. The Fund promotes environmental and/or social characteristics as defined underArticle8of the SustainableFinance Disclosure Regulation (SFDR). Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus."
LU1039938227,"Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMU Net Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 75% of its assets in shares (equities) and equity-related securities of companies, of any size, in any industry, in the Eurozone.Companies will be incorporated in or havingtheir principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable). The investment manager has discretion to choose investments for the Fund with weightings different to the index or not in the index, but at times the Fund may hold investments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in orderto benefitfrommarketmispricing.The investment process combines 'bottom-up' (company-level) analysis with a qualitative overview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. OtherInformation Environmental, social and governance (ESG) criteria are one of the components of management but their weight in the final decision is not defined in advance. The Fund promotes environmental and/or social characteristics as defined underArticle 8 oftheSustainable Finance Disclosure Regulation (SFDR). Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossary on our website at www.janushenderson.com."
LU1626188228,"Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMU Net Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 75% of its assets in shares (equities) and equity-related securities of companies, of any size, in any industry, in the Eurozone.Companies will be incorporated in or havingtheir principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable). The investment manager has discretion to choose investments for the Fund with weightings different to the index or not in the index, but at times the Fund may hold investments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in orderto benefitfrommarketmispricing.The investment process combines 'bottom-up' (company-level) analysis with a qualitative overview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. OtherInformation Environmental, social and governance (ESG) criteria are one of the components of management but their weight in the final decision is not defined in advance. The Fund promotes environmental and/or social characteristics as defined underArticle 8 oftheSustainable Finance Disclosure Regulation (SFDR). Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossary on our website at www.janushenderson.com."
LU1387768325,"Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMU Net Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 75% of its assets in shares (equities) and equity-related securities of companies, of any size, in any industry, in the Eurozone. Companies will be incorporated in or having their principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which itmay invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable). The investment manager has discretion to choose investments for the Fund with weightings different to the index or not in the index, but at times the Fund may hold investments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in order to benefit from market mispricing. The investment process combines 'bottom-up' (company-level) analysis with a qualitative overview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. Distribution policy This share class accumulates incomewhich is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossary on our website at www.janushenderson.com."
LU1047639791,"Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMU Net Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 75% of its assets in shares (equities) and equity-related securities of companies, of any size, in any industry, in the Eurozone.Companies will be incorporated in or havingtheir principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable). The investment manager has discretion to choose investments for the Fund with weightings different to the index or not in the index, but at times the Fund may hold investments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in orderto benefitfrommarketmispricing.The investment process combines 'bottom-up' (company-level) analysis with a qualitative overview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus"
LU1678961548,"Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMUNet Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 75% of its assets in shares (equities) and equity-related securities of companies, of any size, in any industry, in the Eurozone.Companies will be incorporated in or having their principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable). The investment manager has discretion to choose investments for the Fund with weightings different to the index or not in the index, but at times the Fund may hold investments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in order to benefit frommarket mispricing.The investment process combines 'bottom-up' (company-level) analysis with a qualitative overview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. Other Information Environmental, social and governance (ESG) criteria are one of the components of management but theirweight in the final decision is not defined in advance. The Fund promotes environmental and/or social characteristics as defined underArticle8of the SustainableFinance Disclosure Regulation (SFDR). Distribution policy This share class distributes income after the deduction of charges. Distribution frequency Annual. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus."
LU0976557156,"Objective and investment policy Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMUNet Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 75% of its assets in shares (equities) and equity-related securities of companies, of any size, in any industry, in the Eurozone.Companies will be incorporated in or having their principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable). The investment manager has discretion to choose investments for the Fund with weightings different to the index or not in the index, but at times the Fund may hold investments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in order to benefit frommarket mispricing.The investment process combines 'bottom-up' (company-level) analysis with a qualitative overview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. Other Information Environmental, social and governance (ESG) criteria are one of the components of management but theirweight in the final decision is not defined in advance. The Fund promotes environmental and/or social characteristics as defined underArticle8of the SustainableFinance Disclosure Regulation (SFDR). Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossary on our website at www.janushenderson.com."
LU1293640501,"Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMU Net Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 75% of its assets in shares (equities) and equity-related securities of companies, of any size, in any industry, in the Eurozone.Companies will be incorporated in or havingtheir principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable). The investment manager has discretion to choose investments for the Fund with weightings different to the index or not in the index, but at times the Fund may hold investments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in orderto benefitfrommarketmispricing.The investment process combines 'bottom-up' (company-level) analysis with a qualitative overview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus"
LU1005137069,"Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMU Net Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy TheFundinvests at least75%of its assets in shares (equities) and equity-related securities of companies,of any size, in any industry, in the Eurozone.Companies willbeincorporated in orhaving their principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable).The investment manager has discretion to choose investments for the Fund with weightings different tothe index or not in the index,butattimestheFundmayholdinvestments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in order to benefit from market mispricing. The investment processcombines'bottom-up'(company-level) analysis withaqualitativeoverview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. Other Information Environmental, social and governance (ESG) criteria are one of the components of management but theirweight in the final decision is not defined in advance. The Fund promotes environmental and/or social characteristics as defined underArticle8of the SustainableFinance Disclosure Regulation (SFDR). Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. TheFundis designed tobeusedonlyasonecomponentof several inadiversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossaryonourwebsite atwww.janushenderson.com."
LU1276832711,"Objective and investment policy Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMUNet Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 75% of its assets in shares (equities) and equity-related securities of companies, of any size, in any industry, in the Eurozone.Companies will be incorporated in or having their principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable). The investment manager has discretion to choose investments for the Fund with weightings different to the index or not in the index, but at times the Fund may hold investments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in order to benefit frommarket mispricing.The investment process combines 'bottom-up' (company-level) analysis with a qualitative overview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus."
LU0209157659,"Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMUNet Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 75% of its assets in shares (equities) and equity-related securities of companies, of any size, in any industry, in the Eurozone.Companies will be incorporated in or having their principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable). The investment manager has discretion to choose investments for the Fund with weightings different to the index or not in the index, but at times the Fund may hold investments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in order to benefit frommarket mispricing.The investment process combines 'bottom-up' (company-level) analysis with a qualitative overview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. Other Information Environmental, social and governance (ESG) criteria are one of the components of management but theirweight in the final decision is not defined in advance. The Fund promotes environmental and/or social characteristics as defined underArticle8of the SustainableFinance Disclosure Regulation (SFDR). Distribution policy This share class distributes income after the deduction of charges. Distribution frequency Annual. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus."
LU0196034820,"Objective and investment policy Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMU Net Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy TheFundinvests at least75%of its assets in shares (equities) and equity-related securities of companies,of any size, in any industry, in the Eurozone.Companies willbeincorporated in orhaving their principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable).The investment manager has discretion to choose investments for the Fund with weightings different tothe index or not in the index,butattimestheFundmayholdinvestments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in order to benefit from market mispricing. The investment processcombines'bottom-up'(company-level) analysis withaqualitativeoverview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. Other Information Environmental, social and governance (ESG) criteria are one of the components of management but theirweight in the final decision is not defined in advance. The Fund promotes environmental and/or social characteristics as defined underArticle8of the SustainableFinance Disclosure Regulation (SFDR). Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. TheFundis designed tobeusedonlyasonecomponentof several inadiversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossaryonourwebsite atwww.janushenderson.com."
LU1291885702,"Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMU Net Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 75% of its assets in shares (equities) and equity-related securities of companies, of any size, in any industry, in Euroland Countries (i.e. countries having adoptedthe Euro astheir national currency inthe member state of the European Monetary Union). Companies will be incorporated in or having their principal business activities in Euroland Countries. TheFundmay also invest in other assets including companies outside ofEuroland Countries, cash and money market instruments. The Investment Manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable).The Investment Manager has discretion to choose investments for the Fund with weightings differenttotheindexornotintheindex,but attimestheFundmayholdinvestments similar to the index. Strategy The Fund has a biastowards “value” equities.The “value” approach emphasises investments in companies the relevant Investment Manager believes to be undervalued relative to their intrinsic worth.The investment process combines 'bottom-up' (company-level) analysis with a qualitative overview that helps the teamto control risk while seekingtomaximise performance.The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. OtherInformationThe InvestmentManagerwill seekto promote environmental, social and/or governance (ESG) principles in managing the Fund, which may include the exclusion of issuers that the Investment Manager considers could contribute to significant ESG harm, as further described in the prospectus. Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. TheFund is designedto be used only as one component ofseveral in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus."
LU1183228433,"Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMU Net Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 75% of its assets in shares (equities) and equity-related securities of companies, of any size, in any industry, in the Eurozone.Companies will be incorporated in or havingtheir principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable). The investment manager has discretion to choose investments for the Fund with weightings different to the index or not in the index, but at times the Fund may hold investments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in orderto benefitfrommarketmispricing.The investment process combines 'bottom-up' (company-level) analysis with a qualitative overview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. OtherInformation Environmental, social and governance (ESG) criteria are one of the components of management but their weight in the final decision is not defined in advance. The Fund promotes environmental and/or social characteristics as defined underArticle 8 oftheSustainable Finance Disclosure Regulation (SFDR). Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus."
LU1626188814,"Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMUNet Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 75% of its assets in shares (equities) and equity-related securities of companies, of any size, in any industry, in the Eurozone.Companies will be incorporated in or having their principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable). The investment manager has discretion to choose investments for the Fund with weightings different to the index or not in the index, but at times the Fund may hold investments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in order to benefit frommarket mispricing.The investment process combines 'bottom-up' (company-level) analysis with a qualitative overview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. Other Information Environmental, social and governance (ESG) criteria are one of the components of management but theirweight in the final decision is not defined in advance. The Fund promotes environmental and/or social characteristics as defined underArticle8of the SustainableFinance Disclosure Regulation (SFDR). Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus."
LU0247695934,"Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMUNet Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 75% of its assets in shares (equities) and equity-related securities of companies, of any size, in any industry, in the Eurozone.Companies will be incorporated in or having their principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable). The investment manager has discretion to choose investments for the Fund with weightings different to the index or not in the index, but at times the Fund may hold investments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in order to benefit frommarket mispricing.The investment process combines 'bottom-up' (company-level) analysis with a qualitative overview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. Other Information Environmental, social and governance (ESG) criteria are one of the components of management but theirweight in the final decision is not defined in advance. The Fund promotes environmental and/or social characteristics as defined underArticle8of the SustainableFinance Disclosure Regulation (SFDR). Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossary on our website at www.janushenderson.com."
LU1179331720,"Objective The Fund aims to provide capital growth over the long term. Performance target: To outperform the MSCI EMU Net Return EUR Index, after the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 75% of its assets in shares (equities) and equity-related securities of companies, of any size, in any industry, in the Eurozone.Companies will be incorporated in or havingtheir principal business activities in the Eurozone. The Fund may also invest in other assets including companies outside the Eurozone, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the MSCI EMU Net Return EUR Index, which is broadly representative of the companies in which it may invest, as this forms the basis of the Fund's performance target and the level above which performance fees may be charged (if applicable). The investment manager has discretion to choose investments for the Fund with weightings different to the index or not in the index, but at times the Fund may hold investments similar to the index. Strategy The investment manager follows a disciplined investment process that sets aside sentiment in orderto benefitfrommarketmispricing.The investment process combines 'bottom-up' (company-level) analysis with a qualitative overview that helps the team to control risk while seeking to maximise performance. The process seeks to construct a portfolio of companies with established track records that are priced at a level that does not reflect their intrinsic value or future prospects. OtherInformation Environmental, social and governance (ESG) criteria are one of the components of management but their weight in the final decision is not defined in advance. The Fund promotes environmental and/or social characteristics as defined underArticle 8 oftheSustainable Finance Disclosure Regulation (SFDR). Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day, as defined in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossary on our website at www.janushenderson.com."
