ISIN,Umbrella,Fund Legal Structure
GB00BK4W8B89,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00BKP52584,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BKP5XC23,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00BKP5XD30,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00BKP5XX36,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00BKP5XY43,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00BKP5ZQ09,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00BKP5ZR16,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00BKP5ZS23,,Unit Trust
GB00BKP5ZT30,,Unit Trust
GB00BKP65J61,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00BKP65K76,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00BKP65X06,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00BKP65Y13,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00BKP67236,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00BKP67343,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00BKP67459,,Unit Trust
GB00BKPHV137,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00BKPHV350,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00BKPJTG01,,Unit Trust
GB00BKPJTH18,,Unit Trust
GB00BKPJTJ32,,Unit Trust
GB00BKPJWZ03,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BKPJX022,,Unit Trust
GB00BKPJXK25,,Unit Trust
GB00BKPJXL32,,Unit Trust
GB00BKRCQL10,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00BKRCQM27,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00BKSB1F65,Janus Henderson Global Funds,Open Ended Investment Company
GB00BKSB1H89,Janus Henderson Global Funds,Open Ended Investment Company
GB00BKSB1J04,Janus Henderson Global Funds,Open Ended Investment Company
GB00BKSB1K19,Janus Henderson Global Funds,Open Ended Investment Company
GB00BKSB1L26,Janus Henderson Global Funds,Open Ended Investment Company
GB00BKSB1M33,Janus Henderson Global Funds,Open Ended Investment Company
GB00BKTCQ643,,Unit Trust
GB00BKTCQ759,,Unit Trust
GB00BKTDJZ77,,Unit Trust
GB00BKTDK099,,Unit Trust
GB00BKXGGK60,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BKYRW110,,Unit Trust
GB00BKYRW227,,Unit Trust
GB00BKYRW334,,Unit Trust
GB00BKYRW441,,Unit Trust
GB00BKYRW557,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BKYRW664,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BKYRW771,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BL1FVK72,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BLCYFW36,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BLCYFX43,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BLH39230,Janus Henderson Sustainable/Responsible Funds,Open Ended Investment Company
GB00BLKQKZ93,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BLKQL237,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BLKQL906,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BLSNGB01,,Closed Ended Investment Company
GB00BMCF8689,,Closed Ended Investment Company
GB00BMDBB886,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BMDBBG68,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BMDBBK05,,Unit Trust
GB00BMDBBL12,,Unit Trust
GB00BMDBBM29,,Unit Trust
GB00BMDZR592,Janus Henderson Global Funds,Open Ended Investment Company
GB00BMDZR600,Janus Henderson Global Funds,Open Ended Investment Company
GB00BMDZR717,Janus Henderson Global Funds,Open Ended Investment Company
GB00BMDZR824,Janus Henderson Global Funds,Open Ended Investment Company
GB00BMDZR931,Janus Henderson Global Funds,Open Ended Investment Company
GB00BMDZRB59,Janus Henderson Global Funds,Open Ended Investment Company
GB00BMX58Y51,Janus Henderson Sustainable/Responsible Funds,Open Ended Investment Company
GB00BMX58Z68,Janus Henderson Sustainable/Responsible Funds,Open Ended Investment Company
GB00BMY8B000,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BN4NDR39,,Closed Ended Investment Company
GB00BN7CMW56,Janus Henderson Sustainable/Responsible Funds,Open Ended Investment Company
GB00BN7CMX63,Janus Henderson Sustainable/Responsible Funds,Open Ended Investment Company
GB00BN7CMY70,Janus Henderson Sustainable/Responsible Funds,Open Ended Investment Company
GB00BN7CMZ87,Janus Henderson Sustainable/Responsible Funds,Open Ended Investment Company
GB00BNB7MY89,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00BNB7MZ96,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00BNB7N011,Janus Henderson Global Funds,Open Ended Investment Company
GB00BNB7N128,,Unit Trust
GB00BNB7N235,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BNXGHS27,,Closed Ended Investment Company
GB00BNY89Y78,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00BPH3DD08,Janus Henderson Sustainable/Responsible Funds,Open Ended Investment Company
GB00BPH3DF22,Janus Henderson Sustainable/Responsible Funds,Open Ended Investment Company
GB00BPH3DG39,Janus Henderson Sustainable/Responsible Funds,Open Ended Investment Company
GB00BPXXDJ03,Janus Henderson Global Funds,Open Ended Investment Company
GB00BPXXDK18,Janus Henderson Global Funds,Open Ended Investment Company
GB00BPXXDL25,Janus Henderson Global Funds,Open Ended Investment Company
GB00BPXXDM32,Janus Henderson Global Funds,Open Ended Investment Company
GB00BPXXDN49,Janus Henderson Global Funds,Open Ended Investment Company
GB00BPXXDP62,Janus Henderson Global Funds,Open Ended Investment Company
GB00BQ681623,Janus Henderson Managed Funds,Unit Trust
GB00BRBTV673,Janus Henderson Secured Loans Funds OEIC,Open Ended Investment Company
GB00BRJL1650,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BRJL1P41,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BRJL1Q57,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BSHRGN41,,Closed Ended Investment Company
GB00BV9GP888,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00BV9GP995,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00BV9GPB14,,Unit Trust
GB00BV9GPC21,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00BV9GPD38,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00BV9GPF51,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00BVGH2D81,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00BVRYYL03,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00BVZ6QT02,Janus Henderson Global Funds,Open Ended Investment Company
GB00BW0DQF92,,Unit Trust
GB00BW0DQG00,,Unit Trust
GB00BW0DQH17,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00BW0DQJ31,,Open Ended Investment Company
GB00BXVMC989,,Unit Trust
GB00BYM2H885,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BYX7N285,Janus Henderson Managed Funds,Unit Trust
GB00BYYWQW34,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BYYWQY57,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BYYWR319,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BZ00WR55,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BZ00WT79,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00BZ01TH77,,Unit Trust
GB00BZ01TJ91,,Unit Trust
GB00BZ01TK07,,Unit Trust
GB00BZ0RQH48,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00BZ0RQJ61,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00BZ15CY61,,Unit Trust
IE0000OEM636,Janus Selection,Unit Trust
IE0000PUIKX8,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0001256803,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0001257090,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0001262298,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0001426232,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0001AGQT34,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0001V42J54,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0002122038,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0002128837,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0002141913,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0002167009,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0002167660,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0002175093,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0002EYHYY1,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00043S3004,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0004444828,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0004445015,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0004445239,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0004445676,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0004445783,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0004446757,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0004446971,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00044Z4IJ4,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0004858456,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0004858563,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000495KIK3,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0004XWWXA2,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000534SO58,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00055RXH32,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0005BJK3Q0,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0005CE4D33,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0005OL40V9,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0005OODHM3,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00064HGHF2,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0006WLFKW8,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00074FGIA4,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0007RV6TK3,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000832UYS6,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0008I0JXW0,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009354923,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009355771,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009356076,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009511647,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009514872,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009514989,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009515622,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009516141,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009516588,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009516810,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009516927,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009530639,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009531157,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009531603,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009531710,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009531827,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009532122,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009532239,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009533641,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009534052,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009534169,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009534383,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009534508,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009AZINF1,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009MIBWU7,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009P37MJ7,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0009RAWLQ0,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000AHNH3N2,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000BL343U6,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000DVZ2FO4,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000DYN3WR1,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000EQSL973,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000F1A4UV3,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000FMB0163,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000FXF8HX8,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000G3N3NE7,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000GP4O479,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000H2VA905,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000HDDZ8A5,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000HYW6F07,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000IZDQ0S8,Janus Selection,Unit Trust
IE000K4645T9,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000KJSGS14,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000KLTS776,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000KUH9ZH5,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000L47VFB1,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000MYR0A73,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000N76ZS77,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000OAAX4F2,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000Q70BG31,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000QGLM3Y7,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000QHKSTA0,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000QV9L9H5,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000RUGMMJ8,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000S525MX2,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000S6FYYI6,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000SYNS5I3,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000TXTBWM7,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000U1TEQK8,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000UIBHNK4,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000UXG03U9,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000V3UWH37,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000V5XP672,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000VQFWE96,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000VYSP3A8,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000W6OIVB6,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000WX1VW28,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000XEN1F67,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000XWBFHZ3,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000YJW2O06,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000YN37IJ9,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000YSTHZ65,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000YTZ5BP2,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000ZC4REL0,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000ZGL4571,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE000ZZO4GG7,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0030804631,Janus Selection,Unit Trust
IE0030804748,Janus Selection,Unit Trust
IE0030805042,Janus Selection,Unit Trust
IE0030805158,Janus Selection,Unit Trust
IE0030805489,Janus Selection,Unit Trust
IE0030805596,Janus Selection,Unit Trust
IE0030805828,Janus Selection,Unit Trust
IE0030805935,Janus Selection,Unit Trust
IE0030806230,Janus Selection,Unit Trust
IE0030806347,Janus Selection,Unit Trust
IE0031118791,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0031118809,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0031118916,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0031119104,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0031119211,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0031119328,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0031119435,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0031119542,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0031119658,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0033532841,Janus Selection,Unit Trust
IE0033532957,Janus Selection,Unit Trust
IE0033534441,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0033534557,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0033534664,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0033534771,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0033534888,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0033534995,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE0033933767,Janus Selection,Unit Trust
IE0033934393,Janus Selection,Unit Trust
IE0033934955,Janus Selection,Unit Trust
IE0033935580,Janus Selection,Unit Trust
IE0033936117,Janus Selection,Unit Trust
IE0033936331,Janus Selection,Unit Trust
IE00B0332L05,Janus Selection,Unit Trust
IE00B0332S73,Janus Selection,Unit Trust
IE00B2B35J52,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B2B35R37,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B2B35V72,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B2B35Y04,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B2B35Z11,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B2B36255,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B2B36G96,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B2B36J28,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B2B36Q94,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B2B36V48,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B2B37667,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B2B37881,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B2N6J677,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B3LF0Q09,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B3LF0X75,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B3PWP390,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B3Q2NJ00,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B3R7SC21,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B3RVJ987,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B3S2VD85,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B3TND124,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B3VXZV45,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B3ZM0R87,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B3ZSZ594,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B40J9K78,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B40RV384,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B41CXQ90,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B43M7D28,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B44BD966,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B4JS1V06,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B4LJMZ29,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B4Q8M094,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B4R5TH58,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B4ZY3X89,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B5589841,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B5949003,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B59RGT74,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B613WX69,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B613X556,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B613X663,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B64HKL97,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B67PWQ95,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B6Q97T05,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B6Q9B218,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B6Q9PT69,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B6QBS936,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B6QC9F93,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B6QCRZ57,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B6QCZK62,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B6QDJS55,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B6QDLV23,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B6QFF942,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B6QG7K24,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B6Y5G934,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B6Y5KJ15,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B6Y7ZF85,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B755XC12,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B775H168,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B7D1PH00,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B7GTJV38,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B7GTM146,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B7GTM815,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B7KXQ091,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B7Q0MG23,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B7VGZP57,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B7VHC356,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B808G672,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B83BYG91,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B8DQ2F94,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B8GQ0T69,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B8W85S00,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B8XY4Y67,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B9520L40,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00B95B5D80,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD34XY49,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD351Z49,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD353363,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD355P21,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD358420,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD359501,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD359618,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD3RYX91,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD3RYY09,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD860F54,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD860G61,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD860H78,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD860J92,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD861K72,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD861N04,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD8D5Z14,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BD8GP721,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BDFDKX76,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BF2GLT67,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BF2GLV89,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BF2GLW96,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BF2GM042,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BF2GM158,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFRSTF92,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFRSTG00,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFRSYJ83,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFRSYK98,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFRSYS74,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFRSYT81,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFRSYW11,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFRSYX28,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFRSYY35,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFRSYZ42,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFRSZ065,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFRSZ172,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFRSZ289,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFRSZ511,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFRSZ628,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFSS7K90,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFSS7M15,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFSS7W13,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFSS8623,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFSS8Q28,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFTCP959,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BFTCPJ56,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BHC8SV77,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BJJMRX11,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BJJMRY28,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BJJMRZ35,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BJT1NW94,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BJVNGR98,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BJVNGS06,Janus Henderson Capital Funds plc,Open Ended Investment Company
IE00BJVNGT13,Janus Henderson Capital Funds plc,Open Ended Investment Company
